# sticktest
# device      Nintendo Switch Pro Controller
# sdl mapping yes
# hidapi hint 1
# axes 6, buttons 16, hats 1
# raw int16 values, one row per CHANGE (not per poll)
ms,a0,a1,a2,a3,a4,a5
16827,5765,32767,-26898,-22809,-32768,-32768
16843,12245,32767,-31107,-18250,-32768,-32768
16858,19218,30525,-32768,-12914,-32768,-32768
16873,25174,24252,-32768,-8577,-32768,-32768
16888,29558,18914,-32768,-5337,-32768,-32768
16903,32242,15125,-32768,-1748,-32768,-32768
16918,32767,10029,-32768,1256,-32768,-32768
16934,32767,6384,-32768,3788,-32768,-32768
16948,32767,3869,-32768,6659,-32768,-32768
16963,32767,1240,-32768,9255,-32768,-32768
16978,32767,-1160,-32768,12593,-32768,-32768
16993,32767,-1160,-32058,16237,-32768,-32768
17008,32767,-3828,-30155,19543,-32768,-32768
17023,32767,-6179,-27591,23026,-32768,-32768
17038,32767,-8752,-23850,26864,-32768,-32768
17053,32767,-12532,-19576,30106,-32768,-32768
17069,30654,-18949,-14868,32702,-32768,-32768
17083,26477,-24461,-9949,32767,-32768,-32768
17098,21680,-28797,-5273,32767,-32768,-32768
17114,16963,-31783,-951,32767,-32768,-32768
17128,12627,-32768,3097,32767,-32768,-32768
17143,8894,-32768,6893,32767,-32768,-32768
17158,5257,-32768,10467,32767,-32768,-32768
17173,984,-32768,13738,32767,-32768,-32768
17188,-4434,-32768,17423,31541,-32768,-32768
17233,-10207,-32768,21283,29074,-32768,-32768
17248,-16738,-31830,24444,26429,-32768,-32768
17263,-22963,-27733,28081,22478,-32768,-32768
17278,-27349,-23460,30082,19704,-32768,-32768
17293,-30203,-19712,31766,16802,-32768,-32768
17308,-32171,-16313,32767,13996,-32768,-32768
17323,-32768,-13279,32767,11319,-32768,-32768
17339,-32768,-10563,32767,8465,-32768,-32768
17352,-32768,-1,32767,369,-32768,-32768
17368,-31139,9142,32767,-3288,-32768,-32768
17383,-25559,16141,32767,-4623,-32768,-32768
17399,-19512,22559,32767,-6814,-32768,-32768
17413,-13739,28800,32767,-10007,-32768,-32768
17428,-9385,32767,32767,-14216,-32768,-32768
17443,-5982,32767,31401,-17790,-32768,-32768
17458,-3999,32767,30511,-19251,-32768,-32768
17473,-3918,32767,30511,-19251,-32768,-32768
17489,-3128,32767,32767,-13978,-32768,-32768
17503,-3128,32767,32767,-8244,-32768,-32768
17518,-3128,32767,32767,-2764,-32768,-32768
17533,-4225,32767,32767,1998,-32768,-32768
17547,-7772,32767,32767,5772,-32768,-32768
17563,-13303,28671,32767,8465,-32768,-32768
17578,-19867,21236,32767,9851,-32768,-32768
17593,-27252,13464,32767,11674,-32768,-32768
17608,-32768,5433,32767,13173,-32768,-32768
17623,-32768,-1414,31861,16592,-32768,-32768
17638,-32768,-6465,29193,20962,-32768,-32768
17653,-32768,-12834,25508,25365,-32768,-32768
17668,-30236,-19648,22331,28235,-32768,-32768
17683,-25624,-25223,18900,30670,-32768,-32768
17697,-21205,-29035,16518,32041,-32768,-32768
17713,-16819,-31799,15438,32557,-32768,-32768
17728,-12449,-32768,10927,32767,-32768,-32768
17743,-8127,-32768,7528,32767,-32768,-32768
17758,-4257,-32768,3605,32767,-32768,-32768
17773,-548,-32768,-177,32767,-32768,-32768
17788,3271,-32768,-4612,32767,-32768,-32768
17803,7623,-32768,-9159,32767,-32768,-32768
17818,13580,-32768,-14013,32767,-32768,-32768
17833,21061,-29226,-18706,30670,-32768,-32768
17848,28494,-22062,-23124,27493,-32768,-32768
17863,32767,-14200,-26785,23929,-32768,-32768
17878,32767,-9038,-30155,19511,-32768,-32768
17893,32767,-5671,-32638,15044,-32768,-32768
17907,32767,-2256,-32768,12141,-32768,-32768
17923,32767,305,-32768,11029,-32768,-32768
17938,32767,2240,-32768,9771,-32768,-32768
17953,32767,5514,-32768,6094,-32768,-32768
17969,32767,11738,-32768,-445,-32768,-32768
17983,30670,17350,-32768,-7100,-32768,-32768
17998,25810,23526,-32768,-9864,-32768,-32768
18013,20505,29364,-32768,-11516,-32768,-32768
18028,14533,32767,-32768,-13882,-32768,-32768
18043,9926,32767,-32526,-15598,-32768,-32768
18059,6337,32767,-31219,-17742,-32768,-32768
18073,3081,32767,-28978,-20331,-32768,-32768
18088,555,32767,-25527,-24079,-32768,-32768
18103,-2160,32767,-22189,-27367,-32768,-32768
18119,-4966,32767,-20367,-29067,-32768,-32768
18133,-7434,32767,-19093,-30099,-32768,-32768
18163,-10385,32767,-18383,-30671,-32768,-32768
