# sticktest
# device      Pro Controller
# sdl mapping yes
# hidapi hint 0
# axes 4, buttons 18, hats 0
# raw int16 values, one row per CHANGE (not per poll)
ms,a0,a1,a2,a3
16063,19703,-32767,0,0
16079,18346,-32767,0,0
16093,16849,-32767,0,0
16108,15524,-32767,0,0
16123,14680,-32767,0,0
16138,14398,-32767,0,0
16153,14089,-32767,0,0
16168,13667,-32767,0,0
16184,13020,-32767,0,0
16199,12065,-32767,0,0
16213,10801,-32767,0,0
16228,9707,-32767,0,0
16243,9063,-32767,0,0
16259,8586,-32767,0,0
16274,7998,-32767,0,0
16288,7578,-32767,0,0
16303,7074,-32767,0,0
16318,6206,-32767,0,0
16334,4807,-32767,0,0
16348,3242,-32767,0,0
16378,1816,-32767,0,0
16393,866,-32767,0,0
16409,167,-32767,0,0
16423,-754,-32767,0,0
16438,-1257,-32767,0,0
16453,-2123,-32767,0,0
16468,-3465,-32767,0,0
16484,-5926,-32767,0,0
16498,-10268,-32767,0,0
16513,-12346,-32767,0,0
16529,-14820,-32767,0,0
16543,-17047,-32767,0,0
16558,-19787,-32767,0,0
16574,-21430,-32767,0,0
16588,-23189,-32767,0,0
16603,-24696,-32767,0,0
16619,-25802,-32767,0,0
16634,-27369,-32767,0,0
16648,-28732,-32767,0,0
16663,-29846,-32767,0,0
16678,-30899,-32767,0,0
16693,-32130,-32767,0,0
16709,-32767,-32767,0,0
16994,-32767,-31771,0,0
17009,-32767,-31791,0,0
17023,-32767,-29812,0,0
17039,-32767,-29842,0,0
17053,-32767,-26760,0,0
17068,-32767,-26785,0,0
17083,-32767,-24468,0,0
17113,-32767,-18741,0,0
17129,-32767,-18374,0,0
17143,-32767,-12795,0,0
17158,-32767,-12514,0,0
17173,-32767,-7858,0,0
17188,-32767,-7774,0,0
17203,-32767,-3493,0,0
17219,-32767,-3465,0,0
17233,-32767,642,0,0
17264,-32767,3325,0,0
17278,-32767,3297,0,0
17294,-32767,6934,0,0
17308,-32767,6906,0,0
17324,-32767,9932,0,0
17338,-32767,11896,0,0
17369,-32767,15553,0,0
17383,-32767,17273,0,0
17398,-32767,17752,0,0
17414,-32767,21147,0,0
17428,-32767,22139,0,0
17443,-32767,27196,0,0
17459,-32767,31365,0,0
17473,-32767,32296,0,0
17489,-32767,32767,0,0
17563,-30562,32767,0,0
17593,-26376,32767,0,0
17608,-23104,32767,0,0
17624,-20070,32767,0,0
17639,-17470,32767,0,0
17653,-16878,32767,0,0
17669,-12261,32767,0,0
17683,-11896,32767,0,0
17698,-8306,32767,0,0
17713,-6346,32767,0,0
17744,-4779,32767,0,0
17758,-4723,32767,0,0
17773,-2682,32767,0,0
17789,-2654,32767,0,0
17803,-27,32767,0,0
17834,1732,32767,0,0
17863,3773,32767,0,0
17894,6654,32767,0,0
17923,9763,32767,0,0
17939,11475,32767,0,0
17954,11559,32767,0,0
17968,14708,32767,0,0
17983,16624,32767,0,0
17998,18713,32767,0,0
18013,18911,32767,0,0
18029,22054,32767,0,0
18044,24155,32767,0,0
18058,26347,32767,0,0
18073,26889,32767,0,0
18089,30489,32767,0,0
18103,32546,32767,0,0
18119,32767,32767,0,0
18299,32767,31334,0,0
18313,32767,30263,0,0
18329,32767,28230,0,0
18343,32767,26974,0,0
18359,32767,24411,224,-97
18373,32767,22536,2647,-1605
18389,32767,19618,4411,-2237
18404,32767,17470,6763,-3791
18418,32767,15158,8238,-3998
18433,32767,13189,9159,-4184
18448,32767,10998,10202,-4372
18463,32767,9063,11426,-4566
18478,32767,7074,12807,-4782
18494,32767,5255,14152,-5461
18508,32767,3214,15420,-5629
18523,32767,1089,16070,-5698
18539,32767,-1173,16070,-5698
18554,32767,-2990,16054,-5502
18568,32767,-4723,16054,-5502
18583,32767,-6374,16054,-5502
18598,32767,-7914,16054,-5502
18614,32767,-9427,16054,-5502
18628,32767,-10970,16054,-5502
18643,32767,-12598,15254,-5399
18658,32767,-14398,15254,-5399
18673,32767,-16511,13786,-4979
18689,32767,-19250,13786,-4979
18703,32767,-22962,3933,-1782
18718,32767,-27203,0,0
18733,32767,-30926,0,0
18749,32767,-32767,0,0
19018,32718,-32767,0,0
19033,32183,-32767,0,0
19048,30944,-32767,0,0
19064,28578,-32767,0,0
19079,25464,-32767,0,0
19093,22252,-32767,0,0
19109,18656,-32767,0,0
19124,15553,-32767,0,0
19138,13301,-32767,0,0
19153,10661,-32767,0,0
19168,7830,-32767,0,0
19183,5227,-32767,0,0
19198,2487,-32767,0,0
19213,-447,-32767,0,0
19229,-4723,-32767,0,0
19243,-7550,-32767,0,0
19259,-9679,-32767,0,0
19273,-12205,-32767,0,0
19288,-16370,-32767,0,0
19303,-19052,-32767,0,0
19318,-20665,-32767,0,0
19333,-21827,-32767,0,0
19348,-23376,-32767,0,0
19378,-25593,-32767,0,0
19393,-27729,-32767,0,0
19408,-30841,-32767,0,0
19424,-32767,-32767,0,0
19529,-32767,-31529,0,0
19544,-32767,-28915,0,0
19558,-32767,-28986,0,0
19573,-32767,-25397,0,0
19588,-32767,-25431,0,0
19603,-32767,-23916,0,0
19619,-32767,-23928,0,0
19664,-32767,-22139,0,0
19678,-32767,-22054,0,0
19693,-32767,-18882,0,0
19709,-32767,-18459,0,0
19723,-32767,-14454,0,0
19738,-32767,-14257,0,0
19753,-32767,-11671,0,0
19768,-32767,-11503,0,0
19783,-32767,-2487,0,0
19798,-32767,83,0,0
19813,-32767,2654,0,0
19843,-32767,8474,0,0
19858,-32767,11335,0,0
19873,-32767,14032,0,0
19888,-32767,16906,0,0
19918,-32767,22025,0,0
19934,-32767,25179,0,0
19948,-32767,29366,0,0
19993,-32767,32767,0,0
20113,-6303,32767,0,0
20129,0,0,0,0
20324,4392,4874,0,0
20338,7148,5852,0,0
20354,7747,7726,0,0
20369,9298,8150,0,0
20383,9065,7348,0,0
20398,10053,7225,0,0
20414,9991,6998,0,0
20429,8763,5730,0,0
20458,8791,5734,0,0
20473,7888,5022,0,0
20489,0,0,0,0

# ---------------- summary ----------------
# duration 21.4 s, 18245 polls (852 Hz), 821 logged rows
