# sticktest
# device      Nintendo Switch Pro Controller
# sdl mapping yes
# hidapi hint 1
# axes 6, buttons 16, hats 1
# raw int16 values, one row per CHANGE (not per poll)
ms,a0,a1,a2,a3,a4,a5
16575,-10578,-32768,32767,-13597,-32768,-32768
16635,-7885,-32768,32767,-13597,-32768,-32768
16650,-5402,-14216,-5805,-191,-32768,-32768
16665,1667,-5369,2033,-1732,-32768,-32768
16680,460,-1,254,-255,-32768,-32768
16695,238,-239,254,-255,-32768,-32768

# ---------------- summary ----------------
# duration 19.3 s, 16650 polls (863 Hz), 481 logged rows
#
# axis  min      max      rest      values  step
# a0   -1.0000  +1.0000  +0.00726     280  1
# a1   -1.0000  +1.0000  -0.00729     230  1
# a2   -1.0000  +1.0000  +0.00775     251  2
# a3   -1.0000  +1.0000  -0.00778     269  1
# a4   -1.0000  -1.0000  +0.00000       1  0
# a5   -1.0000  -1.0000  +0.00000       1  0
#
# stick 0 (a0/a1): 72/72 sectors swept past half reach
#   rail hits: a0 2400, a1 3220 of 16650 samples
#   roundness 0.7813 (min 0.9681 max 1.2391 mean 1.0604 sd 0.0588, 32 low)
#   reach X -1.0000 / +1.0000 (100.00%)   Y -1.0000 / +1.0000 (100.00%)
#   drift 0.01029 (rest x +0.00726 y -0.00729)
#   envelope: sector-centre deg, max radius, visits
#   env 0    2.5 1.0038 2048
#   env 0    7.5 1.0153 4197
#   env 0   12.5 1.0345 1217
#   env 0   17.5 1.0632 840
#   env 0   22.5 1.0797 814
#   env 0   27.5 1.0808 1181
#   env 0   32.5 1.0792 821
#   env 0   37.5 1.0805 814
#   env 0   42.5 1.0730 433
#   env 0   47.5 1.0808 827
#   env 0   52.5 1.0884 832
#   env 0   57.5 1.0893 448
#   env 0   62.5 1.0970 1194
#   env 0   67.5 1.0963 2034
#   env 0   72.5 1.0639 1230
#   env 0   77.5 1.0346 872
#   env 0   82.5 1.0151 6607
#   env 0   87.5 1.0038 13205
#   env 0   92.5 1.0038 442
#   env 0   97.5 1.0154 9419
#   env 0  102.5 1.0353 2976
#   env 0  107.5 1.0635 1200
#   env 0  112.5 1.0825 837
#   env 0  117.5 1.0872 811
#   env 0  122.5 1.0961 833
#   env 0  127.5 1.0407 397
#   env 0  132.5 1.0089 806
#   env 0  137.5 0.9925 817
#   env 0  142.5 0.9827 420
#   env 0  147.5 0.9719 31
#   env 0  152.5 0.9688 440
#   env 0  157.5 0.9681 820
#   env 0  162.5 0.9793 437
#   env 0  167.5 0.9967 1640
#   env 0  172.5 0.9993 817
#   env 0  177.5 0.9948 436
#   env 0  182.5 1.0036 444
#   env 0  187.5 1.0154 44790
#   env 0  192.5 1.0351 13649
#   env 0  197.5 1.0641 3349
#   env 0  202.5 1.0963 2879
#   env 0  207.5 1.1010 1643
#   env 0  212.5 1.0974 1230
#   env 0  217.5 1.0925 61
#   env 0  222.5 1.0917 436
#   env 0  227.5 1.0930 1196
#   env 0  232.5 1.0854 459
#   env 0  237.5 1.0923 425
#   env 0  242.5 1.0981 11995
#   env 0  247.5 1.0974 2041
#   env 0  252.5 1.0637 14604
#   env 0  257.5 1.0353 5346
#   env 0  262.5 1.0154 1639
#   env 0  267.5 1.0038 2841
#   env 0  272.5 1.0038 4580
#   env 0  277.5 1.0154 17762
#   env 0  282.5 1.0352 13251
#   env 0  287.5 1.0641 13490
#   env 0  292.5 1.0999 2104
#   env 0  297.5 1.1503 1616
#   env 0  302.5 1.2081 1280
#   env 0  307.5 1.2323 874
#   env 0  312.5 1.2353 1588
#   env 0  317.5 1.2391 1653
#   env 0  322.5 1.1007 429
#   env 0  327.5 1.1011 1208
#   env 0  332.5 1.1013 2948
#   env 0  337.5 1.0965 6217
#   env 0  342.5 1.0642 1645
#   env 0  347.5 1.0349 2851
#   env 0  352.5 1.0151 1259
#   env 0  357.5 1.0037 2034
#
# stick 1 (a2/a3): 72/72 sectors swept past half reach
#   rail hits: a2 3010, a3 1886 of 16650 samples
